match_type,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,umpire1,umpire2,batting_avg,runs,bowling_avg,wickets
League,Dubai International Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,runs,97.0,207.0,20.0,AK Chaudhary,PR Reiffel,39.34,3895.0,0.0,0.0
League,Dubai International Cricket Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,runs,44.0,176.0,20.0,KN Ananthapadmanabhan,RK Illingworth,25.21,1588.0,0.0,0.0
League,Sheikh Zayed Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,7.0,143.0,20.0,CB Gaffaney,VK Sharma,27.14,1900.0,0.0,0.0
League,Sharjah Cricket Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,4.0,224.0,20.0,RK Illingworth,K Srinivasan,26.51,3526.0,0.0,0.0
League,Dubai International Cricket Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,tie,-1.0,202.0,20.0,Nitin Menon,PR Reiffel,30.48,5181.0,0.0,0.0
League,Sheikh Zayed Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,runs,15.0,163.0,20.0,VK Sharma,S Ravi,3.4,313.0,21.53,112.0
League,Dubai International Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,37.0,175.0,20.0,KN Ananthapadmanabhan,C Shamshuddin,1.59,51.0,31.93,30.0
League,Sheikh Zayed Stadium,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,runs,48.0,192.0,20.0,VK Sharma,S Ravi,19.2,3437.0,31.88,69.0
League,Dubai International Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,7.0,165.0,20.0,AK Chaudhary,PR Reiffel,14.76,251.0,0.0,0.0
League,Sheikh Zayed Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,wickets,8.0,155.0,20.0,CB Gaffaney,S Ravi,0.28,37.0,22.28,166.0
League,Sharjah Cricket Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,runs,18.0,229.0,20.0,VA Kulkarni,RK Illingworth,27.8,2780.0,70000.0,0.0
League,Dubai International Cricket Stadium,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,wickets,10.0,179.0,20.0,AY Dandekar,Nitin Menon,26.76,3880.0,29.8,92.0
League,Sharjah Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,runs,34.0,209.0,20.0,KN Ananthapadmanabhan,RK Illingworth,0.68,53.0,27.41,92.0
League,Dubai International Cricket Stadium,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,runs,59.0,197.0,20.0,Nitin Menon,YC Barde,9.3,1135.0,31.09,101.0
League,Sheikh Zayed Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,runs,57.0,194.0,20.0,VK Sharma,S Ravi,24.26,2644.0,80000.0,0.0
League,Sheikh Zayed Stadium,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,10.0,168.0,20.0,KN Ananthapadmanabhan,RK Illingworth,24.3,1798.0,120000.0,0.0
League,Dubai International Cricket Stadium,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,69.0,202.0,20.0,AK Chaudhary,Nitin Menon,33.1,1291.0,0.0,0.0
League,Sharjah Cricket Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,runs,46.0,185.0,20.0,KN Ananthapadmanabhan,C Shamshuddin,3.57,647.0,29.27,157.0
League,Sheikh Zayed Stadium,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,2.0,165.0,20.0,UV Gandhe,CB Gaffaney,21.14,4377.0,0.0,0.0
League,Dubai International Cricket Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,37.0,170.0,20.0,AK Chaudhary,PR Reiffel,30.71,6634.0,92.75,4.0
League,Dubai International Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,wickets,5.0,159.0,20.0,YC Barde,PR Reiffel,12.3,738.0,34.44,32.0
League,Sheikh Zayed Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,wickets,5.0,163.0,20.0,CB Gaffaney,S Ravi,30.08,2767.0,0.0,0.0
League,Sharjah Cricket Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,82.0,195.0,20.0,RK Illingworth,K Srinivasan,30.48,5181.0,0.0,0.0
League,Dubai International Cricket Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,runs,20.0,168.0,20.0,AK Chaudhary,PR Reiffel,12.39,2502.0,31.17,132.0
League,Dubai International Cricket Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,runs,13.0,162.0,20.0,AK Chaudhary,Nitin Menon,0.27,8.0,22.0,43.0
League,Sharjah Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,wickets,8.0,172.0,20.0,KN Ananthapadmanabhan,C Shamshuddin,39.34,3895.0,0.0,0.0
League,Sheikh Zayed Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,8.0,149.0,20.0,CB Gaffaney,VK Sharma,30.08,2767.0,0.0,0.0
League,Sharjah Cricket Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,wickets,5.0,180.0,20.0,KN Ananthapadmanabhan,RK Illingworth,30.46,6244.0,18.0,4.0
League,Dubai International Cricket Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,wickets,7.0,178.0,20.0,AK Chaudhary,Nitin Menon,30.48,5181.0,0.0,0.0
League,Sheikh Zayed Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,tie,-1.0,164.0,20.0,PG Pathak,S Ravi,1.91,67.0,28.76,38.0
League,Dubai International Cricket Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,tie,-1.0,177.0,20.0,Nitin Menon,PR Reiffel,39.34,3895.0,0.0,0.0
League,Sheikh Zayed Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,wickets,7.0,126.0,20.0,CB Gaffaney,VK Sharma,34.96,2832.0,0.0,0.0
League,Dubai International Cricket Stadium,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Kings XI Punjab,wickets,5.0,165.0,20.0,C Shamshuddin,RK Illingworth,30.46,6244.0,18.0,4.0
League,Sheikh Zayed Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,wickets,8.0,85.0,20.0,VK Sharma,S Ravi,1.48,96.0,33.76,59.0
League,Dubai International Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8.0,155.0,20.0,Nitin Menon,PR Reiffel,24.71,3657.0,0.0,0.0
League,Sharjah Cricket Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,10.0,115.0,20.0,C Shamshuddin,VA Kulkarni,0.68,53.0,27.41,92.0
League,Sheikh Zayed Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,runs,59.0,195.0,20.0,CB Gaffaney,PG Pathak,0.57,24.0,28.24,42.0
League,Dubai International Cricket Stadium,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kings XI Punjab,runs,12.0,127.0,20.0,AY Dandekar,PR Reiffel,2.68,75.0,32.22,27.0
League,Sheikh Zayed Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,wickets,8.0,196.0,20.0,UV Gandhe,VK Sharma,21.4,920.0,35.89,28.0
League,Dubai International Cricket Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,wickets,8.0,146.0,20.0,C Shamshuddin,RK Illingworth,33.53,1207.0,0.0,0.0
League,Sharjah Cricket Stadium,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,8.0,150.0,20.0,KN Ananthapadmanabhan,RK Illingworth,35.44,4997.0,41.94,18.0
League,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,runs,88.0,220.0,20.0,AK Chaudhary,Nitin Menon,20.74,2427.0,0.0,0.0
League,Sheikh Zayed Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,5.0,165.0,20.0,UV Gandhe,CB Gaffaney,24.26,2644.0,80000.0,0.0
League,Dubai International Cricket Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6.0,173.0,20.0,C Shamshuddin,RK Illingworth,33.53,1207.0,0.0,0.0
League,Sheikh Zayed Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,186.0,20.0,CB Gaffaney,S Ravi,21.4,920.0,35.89,28.0
League,Sharjah Cricket Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5.0,121.0,20.0,KN Ananthapadmanabhan,K Srinivasan,0.5,52.0,26.72,114.0
League,Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,9.0,111.0,20.0,YC Barde,PR Reiffel,26.71,1870.0,0.0,0.0
League,Sheikh Zayed Stadium,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,9.0,154.0,20.0,PG Pathak,VK Sharma,33.53,1207.0,0.0,0.0
